Country,CODE,"GDP (USD)",Population,GDP/Capita,"GDP Growth",Inflation,Unemployment,Debt/GDP,"Life Exp.",Trade/GDP,id
"Cote d'Ivoire",CIV,111446000000,31934230,3293.515,6.4,1.5,2.323,54.1,61.944,51.26403794,1
Angola,AGO,109855000000,37885849,2700.964,2.1,16.3,14.108,63.2,64.617,50.84223056,2
"Costa Rica",CRI,109135000000,5129910,20134.229,3.3,2,6.843,59.5,80.799,71.33101377,3
Oman,OMN,108913000000,5281538,19181.581,4,1.5,3.251,33,80.031,114.8526715,4
Luxembourg,LUX,107758000000,677012,154115.478,2.1,2.2,6.343,28.1,83.35853659,351.2679212,5
Lithuania,LTU,104651000000,2888278,36225.11,2.9,3.1,6.731,45.9,76.98780488,143.0483909,6
"Sri Lanka",LKA,98964000000,21916000,4324.872,5,1.2,4.005,100.8,77.483,42.39750087,7
Panama,PAN,95905000000,4515577,20754.211,4,2,8.36,60.3,79.594,83.67377878,8
Tanzania,TZA,95349000000,68560157,1378.331,6.3,3.5,1.572,48.3,66.995,41.51312072,9
Uruguay,URY,90640000000,3386588,26041.371,2.4,4.5,7.516,68.3,78.138,52.46491679,10
Belarus,BLR,90556000000,9132629,10015.607,1.4,7.5,3.38,36.7,74.18378049,131.9179291,11
"United States",USA,31821300000000,340110988,92883.466,2.1,2.4,4.198,128.7,78.38536585,25.37863425,12
China,CHN,20650800000000,1408975000,14730.309,4.2,0.7,4.615,102.3,77.953,37.19842014,13
"Congo, Dem. Rep.",COD,88126000000,109276265,801.002,5.3,7.1,4.434,14.6,61.895,100.5540883,14
Slovenia,SVN,85738000000,2127400,40164.347,2.3,2.4,3.175,66.4,81.97804878,155.6579287,15
Azerbaijan,AZE,80024000000,10202830,7624.179,2.5,4.5,5.457,23.5,74.429,82.68986916,16
Germany,DEU,5328180000000,83516593,63599.502,0.9,1.8,3.711,66,80.54146341,79.09073059,17
India,IND,4505630000000,1450935791,3051.301,6.2,4,4.219,80.8,72.003,44.64929351,18
"Venezuela, RB",VEN,79916000000,28405543,2972.274,-3,682.1,5.307,164.3,72.514,26.08116576,19
Turkmenistan,TKM,76897000000,7494498,11387.051,2.3,5,4.267,3.6,70.073,28.73460763,20
Uganda,UGA,72456000000,50015092,1457.696,7.6,4.3,2.746,53,68.252,42.65278891,21
Japan,JPN,4463630000000,123975371,36391.381,0.6,2.1,2.451,226.8,84.04121951,46.40695162,22
Cameroon,CMR,67517000000,29123744,2195.01,4.1,3.3,3.602,36.3,63.7,34.40317859,23
Myanmar,MMR,65171000000,54500091,1175.939,3,28,3.047,63,66.889,94.21049468,24
Tunisia,TUN,60434000000,12277109,4825.906,2.1,6.1,15.108,82.6,76.508,106.2985492,25
"United Kingdom",GBR,4225640000000,69226000,60011.092,1.3,2.5,4.746,104.8,81.23809756,62.84016053,26
Jordan,JOR,59288000000,11552876,5148.701,2.9,2.6,16.535,87.5,77.814,99.67944774,27
Bolivia,BOL,57086000000,12413315,4585.184,0.6,20.8,2.967,93.7,68.581,46.97787161,28
France,FRA,3558560000000,68551653,51707.603,0.9,1.5,7.542,119.6,82.92926829,68.10818754,29
Zimbabwe,ZWE,55434000000,16634373,3126.853,4.6,18.2,9.293,41.6,62.775,41.48653127,30
"Macao SAR, China",MAC,54935000000,687000,77442.645,2.8,1.2,2.347,0,83.1804878,142.0794346,31
Latvia,LVA,52248000000,1866124,28024.242,2.2,2.6,6.568,47.4,75.67804878,132.2625079,32
Paraguay,PRY,51669000000,6929153,7324.156,3.7,3.7,4.803,40.6,73.844,76.83115654,33
Cambodia,KHM,51506000000,17638801,2938.615,4,1.8,0.263,29.3,70.668,143.4470097,34
Estonia,EST,51036000000,1372341,37194.835,1.5,4.3,8.313,27.5,78.4902439,151.0377024,35
Italy,ITA,2701540000000,58952704,45883.138,0.8,2,6.391,138.3,83.7,62.82376851,36
Bahrain,BHR,49194000000,1588670,29777.625,3.3,0.8,1.102,146.4,81.284,157.8184921,37
"Russian Federation",RUS,2509420000000,143533851,17287.361,1,5.2,2.133,24.8,73.25463415,39.50816477,38
Canada,CAN,2420840000000,41288599,58243.586,1.5,2,6.907,113,81.64658537,65.14992127,39
Libya,LBY,49164000000,7381023,6971.67,4.2,1.6,18.758,59.7,69.339,128.8161758,40
Nepal,NPL,49112000000,29651054,1657.9,5.2,4.2,10.465,49.9,70.354,40.52982268,41
Iceland,ISL,43404000000,386506,108591.227,2.3,3.1,3.625,44.9,82.60731707,85.96719327,42
Brazil,BRA,2292690000000,211998573,10709.355,1.9,4,5.97,95,75.848,35.58452394,43
Cyprus,CYP,43158000000,1358282,45600.51,2.8,1.3,4.924,53.7,81.648,190.4028709,44
Honduras,HND,40821000000,10825703,3698.501,3.5,4.2,4.92,44.1,72.884,91.11015859,45
Georgia,GEO,40177000000,3699557,10886.113,5.3,3.4,12.097,33.4,74.496,103.4564714,46
Senegal,SEN,39986000000,18501984,2029.801,3,2,2.735,124.3,68.683,68.14051477,47
Sudan,SDN,39474000000,50448963,763.085,9.5,54.6,7.53,172.4,66.331,1.995412102,48
"El Salvador",SLV,37981000000,6338193,5932.866,2.5,1,3.303,86.9,72.099,84.65964616,49
"Bosnia and Herzegovina",BIH,36239000000,3164253,10546.323,2.7,2.6,11.037,31.6,77.85,95.15629571,50
Zambia,ZMB,33945000000,21314956,1523.148,6.4,9.2,5.918,114.9,66.349,62.53488741,51
"Papua New Guinea",PNG,33463000000,10576502,2559.993,3.5,4.6,2.571,50,66.134,94.21049468,52
Albania,ALB,32411000000,2377128,12146.864,3.6,2.8,10.926,52.7,79.602,79.45463608,53
Haiti,HTI,31097000000,11772557,2443.684,-1.2,26.2,14.944,10,64.936,22.24788537,54
Spain,ESP,2041830000000,48848840,40581.506,2,2,10.376,98.7,83.88292683,69.95026124,55
Mexico,MEX,2031000000000,130861007,15110.786,1.5,3.3,2.673,59.9,75.069,74.58890798,56
Australia,AUS,1948230000000,27196812,69358.357,2.1,3,4.09,50.7,83.05121951,47.14538111,57
Guinea,GIN,30922000000,14754785,1909.001,10.5,3,5.163,38.1,60.74,97.77781773,58
"Burkina Faso",BFA,30705000000,23548781,1245.716,4.8,2.4,3.477,51.7,61.092,60.50242229,59
Malta,MLT,30437000000,568847,53082.01,3.9,2,2.896,47.3,83.50731707,218.1705524,60
"Korea, Rep.",KOR,1936620000000,51751065,37523.285,1.8,1.8,2.683,56.7,83.42926829,84.64249512,61
