Country,Code,GDP (USD),Population,GDP/Capita,GDP Growth,Inflation,Unemployment,Debt/GDP,Life Exp.,Trade/GDP
United States,USA,3.18213E+13,340110988,92883.466,2.1,2.4,4.198,128.7,78.38536585,25.37863425
China,CHN,2.06508E+13,1408975000,14730.309,4.2,0.7,4.615,102.3,77.953,37.19842014
Germany,DEU,5.32818E+12,83516593,63599.502,0.9,1.8,3.711,66,80.54146341,79.09073059
India,IND,4.50563E+12,1450935791,3051.301,6.2,4,4.219,80.8,72.003,44.64929351
Japan,JPN,4.46363E+12,123975371,36391.381,0.6,2.1,2.451,226.8,84.04121951,46.40695162
United Kingdom,GBR,4.22564E+12,69226000,60011.092,1.3,2.5,4.746,104.8,81.23809756,62.84016053
France,FRA,3.55856E+12,68551653,51707.603,0.9,1.5,7.542,119.6,82.92926829,68.10818754
Italy,ITA,2.70154E+12,58952704,45883.138,0.8,2,6.391,138.3,83.7,62.82376851
Russian Federation,RUS,2.50942E+12,143533851,17287.361,1,5.2,2.133,24.8,73.25463415,39.50816477
Canada,CAN,2.42084E+12,41288599,58243.586,1.5,2,6.907,113,81.64658537,65.14992127
Brazil,BRA,2.29269E+12,211998573,10709.355,1.9,4,5.97,95,75.848,35.58452394
Spain,ESP,2.04183E+12,48848840,40581.506,2,2,10.376,98.7,83.88292683,69.95026124
Mexico,MEX,2.031E+12,130861007,15110.786,1.5,3.3,2.673,59.9,75.069,74.58890798
Australia,AUS,1.94823E+12,27196812,69358.357,2.1,3,4.09,50.7,83.05121951,47.14538111
"Korea, Rep.",KOR,1.93662E+12,51751065,37523.285,1.8,1.8,2.683,56.7,83.42926829,84.64249512
Turkiye,TUR,1.57611E+12,85518661,18232.019,3.7,24.7,8.52,25.1,77.156,54.59880612
Indonesia,IDN,1.55024E+12,283487931,5397.79,4.9,2.9,3.237,41.1,71.146,42.5726473
Netherlands,NLD,1.41308E+12,17993485,77881.418,1.2,2.4,3.874,45.2,81.91463415,153.8306522
Saudi Arabia,SAU,1.31625E+12,35300280,35839.34,4,2,3.038,31.8,78.732,54.67870527
Poland,POL,1.10996E+12,36559233,30651.257,3.1,2.8,2.976,65.8,78.50731707,100.3594428
Switzerland,CHE,1.07459E+12,9005582,118173.258,1.3,0.6,4.873,36.1,84.05609756,134.0951485
Belgium,BEL,7.61174E+11,11858610,63896.432,1,1.3,5.906,110.6,82.39756098,158.9318263
Ireland,IRL,7.50112E+11,5395790,135247.398,1.3,1.7,4.632,31.5,82.86097561,246.1698749
Sweden,SWE,7.11503E+11,10569709,66123.903,1.9,1.6,8.694,35.6,83.3097561,105.8830915
Argentina,ARG,6.67922E+11,45696159,13895.282,4,16.4,7.145,73.6,77.395,27.92976085
Israel,ISR,6.66407E+11,9974400,64275.33,3.9,2.2,3.489,70.4,83.19512195,54.4520003
Singapore,SGP,6.06225E+11,6036860,99042.422,1.8,1.3,2.818,176.3,82.89512195,322.3714279
Austria,AUT,6.04198E+11,9177982,65640.479,0.8,2.3,5.582,83,81.54146341,108.8257778
